                                                       10 Jan 2017 13:06:43
 AGI Educational Alliance Partner
Satellite-FIREBIRD_3_40377:  LLA Position


     Time (ISO-YMD)        Lat (deg)    Lon (deg)     Alt (km)       Ldip  
-----------------------    ---------    ---------    ----------    --------
2015-02-02T06:11:55.000       66.745       18.769    649.122584    6.019675
2015-02-02T06:11:56.000       66.689       18.703    649.198510    6.001284
2015-02-02T06:11:57.000       66.633       18.638    649.274316    5.982954
2015-02-02T06:11:58.000       66.577       18.572    649.350001    5.964683
2015-02-02T06:11:59.000       66.521       18.508    649.425566    5.946472
2015-02-02T06:12:00.000       66.465       18.443    649.501010    5.928321
2015-02-02T06:12:01.000       66.409       18.379    649.576334    5.910229
2015-02-02T06:12:02.000       66.353       18.314    649.651537    5.892198
2015-02-02T06:12:03.000       66.297       18.251    649.726619    5.874226
2015-02-02T06:12:04.000       66.241       18.187    649.801581    5.856314
2015-02-02T06:12:05.000       66.185       18.124    649.876422    5.838462
2015-02-02T06:12:06.000       66.129       18.061    649.951143    5.820669
2015-02-02T06:12:07.000       66.073       17.998    650.025743    5.802937
2015-02-02T06:12:08.000       66.017       17.936    650.100221    5.785264
2015-02-02T06:12:09.000       65.960       17.873    650.174580    5.767651
2015-02-02T06:12:10.000       65.904       17.811    650.248817    5.750097
2015-02-02T06:12:11.000       65.848       17.750    650.322933    5.732604
2015-02-02T06:12:12.000       65.792       17.688    650.396929    5.715170
2015-02-02T06:12:13.000       65.735       17.627    650.470803    5.697795
2015-02-02T06:12:14.000       65.679       17.566    650.544556    5.680480
2015-02-02T06:12:15.000       65.623       17.505    650.618189    5.663225
2015-02-02T06:12:16.000       65.566       17.445    650.691700    5.646029
2015-02-02T06:12:17.000       65.510       17.384    650.765090    5.628893
2015-02-02T06:12:18.000       65.454       17.324    650.838359    5.611816
2015-02-02T06:12:19.000       65.397       17.265    650.911507    5.594798
2015-02-02T06:12:20.000       65.341       17.205    650.984534    5.577839
2015-02-02T06:12:21.000       65.284       17.146    651.057439    5.560940
2015-02-02T06:12:22.000       65.228       17.087    651.130223    5.544100
2015-02-02T06:12:23.000       65.171       17.028    651.202886    5.527319
2015-02-02T06:12:24.000       65.115       16.969    651.275428    5.510597
2015-02-02T06:12:25.000       65.058       16.911    651.347848    5.493933
2015-02-02T06:12:26.000       65.002       16.853    651.420146    5.477329
2015-02-02T06:12:27.000       64.945       16.795    651.492324    5.460783
2015-02-02T06:12:28.000       64.889       16.737    651.564379    5.444297
2015-02-02T06:12:29.000       64.832       16.680    651.636314    5.427868
2015-02-02T06:12:30.000       64.775       16.623    651.708126    5.411499
2015-02-02T06:12:31.000       64.719       16.566    651.779817    5.395187
2015-02-02T06:12:32.000       64.662       16.509    651.851387    5.378934
2015-02-02T06:12:33.000       64.605       16.452    651.922835    5.362740
2015-02-02T06:12:34.000       64.549       16.396    651.994161    5.346603
2015-02-02T06:12:35.000       64.492       16.340    652.065366    5.330525
2015-02-02T06:12:36.000       64.435       16.284    652.136449    5.314504
2015-02-02T06:12:37.000       64.379       16.228    652.207410    5.298542
2015-02-02T06:12:38.000       64.322       16.173    652.278249    5.282637
2015-02-02T06:12:39.000       64.265       16.118    652.348966    5.266789
2015-02-02T06:12:40.000       64.208       16.062    652.419562    5.251000
2015-02-02T06:12:41.000       64.151       16.008    652.490036    5.235268
2015-02-02T06:12:42.000       64.095       15.953    652.560388    5.219593
2015-02-02T06:12:43.000       64.038       15.899    652.630618    5.203975
2015-02-02T06:12:44.000       63.981       15.844    652.700726    5.188414
2015-02-02T06:12:45.000       63.924       15.790    652.770712    5.172911
2015-02-02T06:12:46.000       63.867       15.737    652.840576    5.157464
2015-02-02T06:12:47.000       63.810       15.683    652.910318    5.142074
2015-02-02T06:12:48.000       63.753       15.629    652.979938    5.126741
2015-02-02T06:12:49.000       63.696       15.576    653.049436    5.111464
2015-02-02T06:12:50.000       63.639       15.523    653.118811    5.096244
2015-02-02T06:12:51.000       63.582       15.470    653.188065    5.081080
2015-02-02T06:12:52.000       63.525       15.418    653.257196    5.065972
2015-02-02T06:12:53.000       63.468       15.365    653.326205    5.050920
2015-02-02T06:12:54.000       63.411       15.313    653.395092    5.035924
2015-02-02T06:12:55.000       63.354       15.261    653.463857    5.020984
2015-02-02T06:12:56.000       63.297       15.209    653.532500    5.006099
2015-02-02T06:12:57.000       63.240       15.158    653.601020    4.991270
2015-02-02T06:12:58.000       63.183       15.106    653.669418    4.976496
2015-02-02T06:12:59.000       63.126       15.055    653.737693    4.961777
2015-02-02T06:13:00.000       63.069       15.004    653.805846    4.947114
2015-02-02T06:13:01.000       63.012       14.953    653.873877    4.932505
2015-02-02T06:13:02.000       62.955       14.902    653.941785    4.917951
2015-02-02T06:13:03.000       62.898       14.851    654.009571    4.903452
2015-02-02T06:13:04.000       62.840       14.801    654.077234    4.889007
2015-02-02T06:13:05.000       62.783       14.751    654.144775    4.874617
2015-02-02T06:13:06.000       62.726       14.701    654.212193    4.860281
2015-02-02T06:13:07.000       62.669       14.651    654.279489    4.845999
2015-02-02T06:13:08.000       62.612       14.601    654.346662    4.831771
2015-02-02T06:13:09.000       62.554       14.552    654.413713    4.817597
2015-02-02T06:13:10.000       62.497       14.503    654.480641    4.803476
2015-02-02T06:13:11.000       62.440       14.453    654.547446    4.789409
2015-02-02T06:13:12.000       62.382       14.404    654.614129    4.775396
2015-02-02T06:13:13.000       62.325       14.356    654.680689    4.761435
2015-02-02T06:13:14.000       62.268       14.307    654.747126    4.747528
2015-02-02T06:13:15.000       62.211       14.259    654.813441    4.733673
2015-02-02T06:13:16.000       62.153       14.210    654.879633    4.719871
2015-02-02T06:13:17.000       62.096       14.162    654.945702    4.706122
2015-02-02T06:13:18.000       62.039       14.114    655.011648    4.692425
2015-02-02T06:13:19.000       61.981       14.066    655.077472    4.678781
2015-02-02T06:13:20.000       61.924       14.019    655.143173    4.665188
2015-02-02T06:13:21.000       61.866       13.971    655.208751    4.651648
2015-02-02T06:13:22.000       61.809       13.924    655.274206    4.638159
2015-02-02T06:13:23.000       61.752       13.877    655.339538    4.624723
2015-02-02T06:13:24.000       61.694       13.830    655.404747    4.611337
2015-02-02T06:13:25.000       61.637       13.783    655.469833    4.598003
2015-02-02T06:13:26.000       61.579       13.736    655.534796    4.584720
2015-02-02T06:13:27.000       61.522       13.690    655.599637    4.571488
2015-02-02T06:13:28.000       61.464       13.644    655.664354    4.558307
2015-02-02T06:13:29.000       61.407       13.597    655.728949    4.545177
2015-02-02T06:13:30.000       61.349       13.551    655.793420    4.532097
2015-02-02T06:13:31.000       61.292       13.506    655.857768    4.519068
2015-02-02T06:13:32.000       61.234       13.460    655.921994    4.506089
2015-02-02T06:13:33.000       61.177       13.414    655.986096    4.493160
2015-02-02T06:13:34.000       61.119       13.369    656.050075    4.480280
2015-02-02T06:13:35.000       61.061       13.324    656.113931    4.467451
2015-02-02T06:13:36.000       61.004       13.278    656.177664    4.454671
2015-02-02T06:13:37.000       60.946       13.233    656.241274    4.441941
2015-02-02T06:13:38.000       60.889       13.189    656.304760    4.429259
2015-02-02T06:13:39.000       60.831       13.144    656.368124    4.416627
2015-02-02T06:13:40.000       60.773       13.099    656.431364    4.404044
2015-02-02T06:13:41.000       60.716       13.055    656.494481    4.391510
2015-02-02T06:13:42.000       60.658       13.011    656.557475    4.379024
2015-02-02T06:13:43.000       60.601       12.967    656.620345    4.366586
2015-02-02T06:13:44.000       60.543       12.923    656.683093    4.354197
2015-02-02T06:13:45.000       60.485       12.879    656.745717    4.341856
2015-02-02T06:13:46.000       60.427       12.835    656.808217    4.329563
2015-02-02T06:13:47.000       60.370       12.792    656.870595    4.317318
2015-02-02T06:13:48.000       60.312       12.748    656.932849    4.305120
2015-02-02T06:13:49.000       60.254       12.705    656.994980    4.292970
2015-02-02T06:13:50.000       60.197       12.662    657.056987    4.280867
2015-02-02T06:13:51.000       60.139       12.619    657.118872    4.268811
2015-02-02T06:13:52.000       60.081       12.576    657.180632    4.256802
2015-02-02T06:13:53.000       60.023       12.533    657.242270    4.244839
2015-02-02T06:13:54.000       59.965       12.491    657.303784    4.232924
2015-02-02T06:13:55.000       59.908       12.448    657.365174    4.221055
